osmId,osmName,osmNameKo,osmNameEn,building,sourceUrl,reviewStatus,matchedOfficialCode,matchedCatalogName,notes
way/776697725,,,,apartments,https://www.openstreetmap.org/way/776697725,unreviewed,,,
way/776697726,,,,apartments,https://www.openstreetmap.org/way/776697726,unreviewed,,,
way/776697727,,,,apartments,https://www.openstreetmap.org/way/776697727,unreviewed,,,
way/776697728,,,,apartments,https://www.openstreetmap.org/way/776697728,unreviewed,,,
way/776697729,,,,apartments,https://www.openstreetmap.org/way/776697729,unreviewed,,,
way/776697732,,,,apartments,https://www.openstreetmap.org/way/776697732,unreviewed,,,
way/776697733,,,,apartments,https://www.openstreetmap.org/way/776697733,unreviewed,,,
way/776697734,,,,apartments,https://www.openstreetmap.org/way/776697734,unreviewed,,,
way/776697735,,,,apartments,https://www.openstreetmap.org/way/776697735,unreviewed,,,
way/776697736,,,,apartments,https://www.openstreetmap.org/way/776697736,unreviewed,,,
way/776697737,,,,apartments,https://www.openstreetmap.org/way/776697737,unreviewed,,,
way/776697738,,,,apartments,https://www.openstreetmap.org/way/776697738,unreviewed,,,
way/776697751,,,,apartments,https://www.openstreetmap.org/way/776697751,unreviewed,,,
way/776697752,,,,apartments,https://www.openstreetmap.org/way/776697752,unreviewed,,,
way/776697753,,,,apartments,https://www.openstreetmap.org/way/776697753,unreviewed,,,
way/776697754,,,,apartments,https://www.openstreetmap.org/way/776697754,unreviewed,,,
way/776697755,,,,apartments,https://www.openstreetmap.org/way/776697755,unreviewed,,,
way/776697756,,,,apartments,https://www.openstreetmap.org/way/776697756,unreviewed,,,
way/926315130,장보고 식자재마트,,,commercial,https://www.openstreetmap.org/way/926315130,unreviewed,,,
way/927541904,약학관,,,school,https://www.openstreetmap.org/way/927541904,estimated,G07,Pharmacy Building,Auto-filled from a unique normalized exact Korean or English name match.
way/928753177,GUNNERS,,,yes,https://www.openstreetmap.org/way/928753177,unreviewed,,,
way/928753179,현대모비스 현대부품대리점,,,commercial,https://www.openstreetmap.org/way/928753179,unreviewed,,,
